wl,n,k
0.36,2.16046,0
0.3616,2.16001,0
0.3632,2.15956,0
0.3648,2.15911,0
0.3664,2.15868,0
0.368,2.15825,0
0.3696,2.15782,0
0.3712,2.1574,0
0.3728,2.15699,0
0.3744,2.15658,0
0.376,2.15618,0
0.3776,2.15579,0
0.3792,2.1554,0
0.3808,2.15501,0
0.3824,2.15463,0
0.384,2.15425,0
0.3856,2.15388,0
0.3872,2.15352,0
0.3888,2.15315,0
0.3904,2.1528,0
0.392,2.15245,0
0.3936,2.1521,0
0.3952,2.15176,0
0.3968,2.15142,0
0.3984,2.15108,0
0.4,2.15075,0
0.4016,2.15043,0
0.4032,2.15011,0
0.4048,2.14979,0
0.4064,2.14947,0
0.408,2.14916,0
0.4096,2.14886,0
0.4112,2.14855,0
0.4128,2.14826,0
0.4144,2.14796,0
0.416,2.14767,0
0.4176,2.14738,0
0.4192,2.1471,0
0.4208,2.14681,0
0.4224,2.14654,0
0.424,2.14626,0
0.4256,2.14599,0
0.4272,2.14572,0
0.4288,2.14546,0
0.4304,2.1452,0
0.432,2.14494,0
0.4336,2.14468,0
0.4352,2.14443,0
0.4368,2.14418,0
0.4384,2.14393,0
0.44,2.14369,0
0.4416,2.14344,0
0.4432,2.1432,0
0.4448,2.14297,0
0.4464,2.14273,0
0.448,2.1425,0
0.4496,2.14227,0
0.4512,2.14205,0
0.4528,2.14183,0
0.4544,2.1416,0
0.456,2.14139,0
0.4576,2.14117,0
0.4592,2.14095,0
0.4608,2.14074,0
0.4624,2.14053,0
0.464,2.14033,0
0.4656,2.14012,0
0.4672,2.13992,0
0.4688,2.13972,0
0.4704,2.13952,0
0.472,2.13932,0
0.4736,2.13913,0
0.4752,2.13894,0
0.4768,2.13875,0
0.4784,2.13856,0
0.48,2.13837,0
0.4816,2.13819,0
0.4832,2.13801,0
0.4848,2.13783,0
0.4864,2.13765,0
0.488,2.13747,0
0.4896,2.13729,0
0.4912,2.13712,0
0.4928,2.13695,0
0.4944,2.13678,0
0.496,2.13661,0
0.4976,2.13644,0
0.4992,2.13628,0
0.5008,2.13612,0
0.5024,2.13595,0
0.504,2.13579,0
0.5056,2.13564,0
0.5072,2.13548,0
0.5088,2.13532,0
0.5104,2.13517,0
0.512,2.13502,0
0.5136,2.13487,0
0.5152,2.13472,0
0.5168,2.13457,0
0.5184,2.13442,0
0.52,2.13428,0
0.5216,2.13413,0
0.5232,2.13399,0
0.5248,2.13385,0
0.5264,2.13371,0
0.528,2.13357,0
0.5296,2.13343,0
0.5312,2.1333,0
0.5321,2.13322,0
0.5328,2.13316,0
0.5344,2.13303,0
0.536,2.1329,0
0.5376,2.13276,0
0.5392,2.13263,0
0.5408,2.13251,0
0.5424,2.13238,0
0.544,2.13225,0
0.5456,2.13213,0
0.5472,2.132,0
0.5488,2.13188,0
0.5504,2.13176,0
0.552,2.13164,0
0.5536,2.13152,0
0.5552,2.1314,0
0.5568,2.13128,0
0.5584,2.13116,0
0.56,2.13105,0
0.5616,2.13093,0
0.5632,2.13082,0
0.5648,2.13071,0
0.5664,2.1306,0
0.568,2.13048,0
0.5696,2.13037,0
0.5712,2.13027,0
0.5728,2.13016,0
0.5744,2.13005,0
0.576,2.12995,0
0.5776,2.12984,0
0.5792,2.12974,0
0.5808,2.12963,0
0.5824,2.12953,0
0.584,2.12943,0
0.5856,2.12933,0
0.5872,2.12923,0
0.5888,2.12913,0
0.5904,2.12903,0
0.592,2.12893,0
0.5936,2.12884,0
0.5952,2.12874,0
0.5968,2.12865,0
0.5984,2.12855,0
0.6,2.12846,0
0.6016,2.12837,0
0.6032,2.12827,0
0.6048,2.12818,0
0.6064,2.12809,0
0.608,2.128,0
0.6096,2.12791,0
0.6112,2.12782,0
0.6128,2.12774,0
0.6144,2.12765,0
0.616,2.12756,0
0.6176,2.12748,0
0.6192,2.12739,0
0.6208,2.12731,0
0.6224,2.12723,0
0.624,2.12714,0
0.6256,2.12706,0
0.6272,2.12698,0
0.6288,2.1269,0
0.6304,2.12682,0
0.632,2.12674,0
0.6336,2.12666,0
0.6352,2.12658,0
0.6368,2.1265,0
0.6384,2.12643,0
0.64,2.12635,0
