wl,n,k
1.0019e-01,2.2672e+00,7.1896e-01
1.0051e-01,2.2566e+00,7.0931e-01
1.0084e-01,2.2463e+00,7.0000e-01
1.0116e-01,2.2361e+00,6.9099e-01
1.0150e-01,2.2261e+00,6.8228e-01
1.0183e-01,2.2163e+00,6.7385e-01
1.0216e-01,2.2066e+00,6.6568e-01
1.0250e-01,2.1972e+00,6.5775e-01
1.0284e-01,2.1879e+00,6.5005e-01
1.0318e-01,2.1787e+00,6.4257e-01
1.0353e-01,2.1697e+00,6.3529e-01
1.0387e-01,2.1608e+00,6.2821e-01
1.0422e-01,2.1521e+00,6.2131e-01
1.0457e-01,2.1435e+00,6.1459e-01
1.0492e-01,2.1350e+00,6.0802e-01
1.0528e-01,2.1267e+00,6.0161e-01
1.0564e-01,2.1185e+00,5.9535e-01
1.0600e-01,2.1103e+00,5.8922e-01
1.0636e-01,2.1023e+00,5.8322e-01
1.0673e-01,2.0944e+00,5.7735e-01
1.0710e-01,2.0865e+00,5.7159e-01
1.0747e-01,2.0788e+00,5.6595e-01
1.0784e-01,2.0711e+00,5.6041e-01
1.0821e-01,2.0635e+00,5.5497e-01
1.0859e-01,2.0560e+00,5.4963e-01
1.0897e-01,2.0486e+00,5.4437e-01
1.0936e-01,2.0412e+00,5.3921e-01
1.0974e-01,2.0338e+00,5.3413e-01
1.1013e-01,2.0266e+00,5.2914e-01
1.1053e-01,2.0193e+00,5.2421e-01
1.1092e-01,2.0121e+00,5.1937e-01
1.1132e-01,2.0050e+00,5.1459e-01
1.1172e-01,1.9978e+00,5.0989e-01
1.1212e-01,1.9908e+00,5.0525e-01
1.1253e-01,1.9837e+00,5.0067e-01
1.1294e-01,1.9767e+00,4.9616e-01
1.1335e-01,1.9696e+00,4.9171e-01
1.1376e-01,1.9626e+00,4.8731e-01
1.1418e-01,1.9556e+00,4.8298e-01
1.1460e-01,1.9486e+00,4.7870e-01
1.1503e-01,1.9416e+00,4.7448e-01
1.1546e-01,1.9347e+00,4.7031e-01
1.1589e-01,1.9277e+00,4.6619e-01
1.1632e-01,1.9207e+00,4.6213e-01
1.1676e-01,1.9137e+00,4.5812e-01
1.1720e-01,1.9066e+00,4.5416e-01
1.1764e-01,1.8996e+00,4.5025e-01
1.1809e-01,1.8926e+00,4.4639e-01
1.1854e-01,1.8855e+00,4.4258e-01
1.1899e-01,1.8784e+00,4.3883e-01
1.1945e-01,1.8712e+00,4.3512e-01
1.1991e-01,1.8641e+00,4.3146e-01
1.2038e-01,1.8569e+00,4.2785e-01
1.2085e-01,1.8497e+00,4.2429e-01
1.2132e-01,1.8424e+00,4.2078e-01
1.2179e-01,1.8351e+00,4.1732e-01
1.2227e-01,1.8277e+00,4.1391e-01
1.2276e-01,1.8203e+00,4.1055e-01
1.2324e-01,1.8128e+00,4.0725e-01
1.2373e-01,1.8053e+00,4.0399e-01
1.2423e-01,1.7977e+00,4.0079e-01
1.2473e-01,1.7901e+00,3.9764e-01
1.2523e-01,1.7824e+00,3.9455e-01
1.2574e-01,1.7746e+00,3.9151e-01
1.2625e-01,1.7668e+00,3.8853e-01
1.2677e-01,1.7589e+00,3.8560e-01
1.2728e-01,1.7509e+00,3.8273e-01
1.2781e-01,1.7429e+00,3.7992e-01
1.2834e-01,1.7347e+00,3.7717e-01
1.2887e-01,1.7265e+00,3.7449e-01
1.2941e-01,1.7182e+00,3.7187e-01
1.2995e-01,1.7098e+00,3.6931e-01
1.3049e-01,1.7013e+00,3.6682e-01
1.3104e-01,1.6927e+00,3.6439e-01
1.3160e-01,1.6840e+00,3.6204e-01
1.3216e-01,1.6752e+00,3.5976e-01
1.3272e-01,1.6663e+00,3.5756e-01
1.3329e-01,1.6573e+00,3.5543e-01
1.3387e-01,1.6482e+00,3.5338e-01
1.3445e-01,1.6390e+00,3.5141e-01
1.3503e-01,1.6296e+00,3.4953e-01
1.3562e-01,1.6201e+00,3.4774e-01
1.3622e-01,1.6105e+00,3.4604e-01
1.3682e-01,1.6007e+00,3.4443e-01
1.3742e-01,1.5908e+00,3.4293e-01
1.3803e-01,1.5808e+00,3.4153e-01
1.3865e-01,1.5706e+00,3.4023e-01
1.3927e-01,1.5603e+00,3.3905e-01
1.3990e-01,1.5498e+00,3.3798e-01
1.4053e-01,1.5391e+00,3.3704e-01
1.4117e-01,1.5283e+00,3.3623e-01
1.4181e-01,1.5173e+00,3.3555e-01
1.4246e-01,1.5061e+00,3.3502e-01
1.4312e-01,1.4947e+00,3.3463e-01
1.4378e-01,1.4832e+00,3.3440e-01
1.4445e-01,1.4715e+00,3.3433e-01
1.4513e-01,1.4595e+00,3.3444e-01
1.4581e-01,1.4473e+00,3.3474e-01
1.4650e-01,1.4350e+00,3.3522e-01
1.4719e-01,1.4224e+00,3.3592e-01
1.4789e-01,1.4096e+00,3.3683e-01
1.4860e-01,1.3965e+00,3.3797e-01
1.4931e-01,1.3833e+00,3.3936e-01
1.5004e-01,1.3697e+00,3.4101e-01
1.5076e-01,1.3559e+00,3.4294e-01
1.5150e-01,1.3419e+00,3.4516e-01
1.5224e-01,1.3276e+00,3.4770e-01
1.5299e-01,1.3130e+00,3.5058e-01
1.5375e-01,1.2982e+00,3.5381e-01
1.5451e-01,1.2831e+00,3.5743e-01
1.5529e-01,1.2677e+00,3.6146e-01
