wl,n,k
0.301,1.60689,1.55452
0.302,1.61005,1.56743
0.303,1.61327,1.58045
0.304,1.61654,1.59357
0.305,1.61988,1.6068
0.306,1.62327,1.62015
0.307,1.62672,1.63362
0.308,1.63023,1.64721
0.309,1.6338,1.66093
0.31,1.63743,1.67479
0.311,1.64113,1.68879
0.312,1.6449,1.70294
0.313,1.64873,1.71724
0.314,1.65263,1.73171
0.315,1.65661,1.74635
0.316,1.66066,1.76116
0.317,1.66479,1.77616
0.318,1.669,1.79135
0.319,1.6733,1.80674
0.32,1.67768,1.82235
0.321,1.68216,1.83818
0.322,1.68674,1.85424
0.323,1.69142,1.87054
0.324,1.69622,1.88711
0.325,1.70113,1.90394
0.326,1.70616,1.92106
0.327,1.71132,1.93847
0.328,1.71663,1.95619
0.329,1.72209,1.97425
0.33,1.72771,1.99265
0.331,1.73351,2.01141
0.332,1.73949,2.03055
0.333,1.74568,2.0501
0.334,1.75209,2.07007
0.335,1.75874,2.09049
0.336,1.76565,2.11137
0.337,1.77285,2.13276
0.338,1.78036,2.15466
0.339,1.78822,2.17712
0.34,1.79645,2.20016
0.341,1.80509,2.22381
0.342,1.8142,2.24811
0.343,1.82381,2.27309
0.344,1.83397,2.29878
0.345,1.84476,2.32522
0.346,1.85624,2.35245
0.347,1.86849,2.38051
0.348,1.8816,2.40943
0.349,1.89566,2.43926
0.35,1.9108,2.47003
0.351,1.92714,2.50176
0.352,1.94484,2.53449
0.353,1.96404,2.56824
0.354,1.98495,2.60302
0.355,2.00778,2.63882
0.356,2.03276,2.67563
0.357,2.06017,2.71339
0.358,2.0903,2.75202
0.359,2.12349,2.79141
0.36,2.1601,2.83138
0.361,2.20051,2.87167
0.362,2.24515,2.91197
0.363,2.29445,2.95182
0.364,2.34881,2.99068
0.365,2.40864,3.02782
0.366,2.47423,3.06236
0.367,2.54577,3.09326
0.368,2.62326,3.11927
0.369,2.70643,3.13901
0.37,2.79462,3.15101
0.371,2.88678,3.15381
0.372,2.98136,3.14609
0.373,3.07636,3.12687
0.374,3.16939,3.09571
0.375,3.25787,3.0528
0.376,3.33925,2.99913
0.377,3.41132,2.9364
0.378,3.47244,2.86686
0.379,3.52169,2.79312
0.38,3.55893,2.71783
0.381,3.58471,2.64341
0.382,3.60011,2.57191
0.383,3.60655,2.50488
0.384,3.60562,2.44339
0.385,3.5989,2.38804
0.386,3.58788,2.33905
0.387,3.57387,2.29636
0.388,3.558,2.25971
0.389,3.5412,2.22871
0.39,3.52423,2.2029
0.391,3.50767,2.18177
0.392,3.49198,2.16482
0.393,3.4775,2.15156
0.394,3.46448,2.14154
0.395,3.45309,2.13433
0.396,3.44346,2.12953
0.397,3.43564,2.12678
0.398,3.42969,2.12578
0.399,3.4256,2.12621
0.4,3.42338,2.12782
0.401,3.42299,2.13037
0.402,3.42441,2.13364
0.403,3.42759,2.13744
0.404,3.43247,2.14158
0.405,3.43901,2.1459
0.406,3.44714,2.15025
0.407,3.4568,2.15448
0.408,3.46792,2.15846
0.409,3.48042,2.16207
0.41,3.49425,2.16519
0.411,3.50931,2.16771
0.412,3.52552,2.16953
0.413,3.54281,2.17055
0.414,3.56106,2.17069
0.415,3.5802,2.16987
0.416,3.60012,2.168
0.417,3.62071,2.16502
0.418,3.64186,2.16087
0.419,3.66346,2.1555
0.42,3.68539,2.14887
0.421,3.70751,2.14094
0.422,3.72972,2.13171
0.423,3.75187,2.12116
0.424,3.77384,2.10929
0.425,3.79551,2.09613
0.426,3.81674,2.08171
0.427,3.83741,2.06607
0.428,3.85741,2.04926
0.429,3.87663,2.03136
0.43,3.89496,2.01244
0.431,3.91232,1.99259
0.432,3.92862,1.97192
0.433,3.9438,1.95052
0.434,3.95779,1.92852
0.435,3.97056,1.90602
0.436,3.98208,1.88314
0.437,3.99233,1.86
0.438,4.0013,1.83672
0.439,4.00902,1.81341
0.44,4.0155,1.79018
0.441,4.02077,1.76713
0.442,4.02487,1.74436
0.443,4.02786,1.72197
0.444,4.02979,1.70002
0.445,4.03072,1.67859
0.446,4.03072,1.65775
0.447,4.02987,1.63754
0.448,4.02823,1.61802
0.449,4.02588,1.59923
